date,hospitalCases
28/11/2020,13208
27/11/2020,13754
26/11/2020,13908
25/11/2020,14240
24/11/2020,14506
23/11/2020,14712
22/11/2020,14354
21/11/2020,14118
20/11/2020,14236
19/11/2020,14479
18/11/2020,14490
17/11/2020,14411
16/11/2020,14313
15/11/2020,13886
14/11/2020,13399
13/11/2020,13328
12/11/2020,12967
11/11/2020,12730
10/11/2020,12033
09/11/2020,12259
08/11/2020,11680
07/11/2020,11514
06/11/2020,11181
05/11/2020,10994
04/11/2020,11037
03/11/2020,10971
02/11/2020,10397
01/11/2020,9623
31/10/2020,9782
30/10/2020,9295
29/10/2020,9127
28/10/2020,9070
27/10/2020,8595
26/10/2020,7856
25/10/2020,7612
24/10/2020,7176
23/10/2020,6842
22/10/2020,6345
21/10/2020,6271
20/10/2020,6072
19/10/2020,5644
18/10/2020,5202
17/10/2020,5029
16/10/2020,4854
15/10/2020,4569
14/10/2020,4313
13/10/2020,4105
12/10/2020,3827
11/10/2020,3604
10/10/2020,3369
09/10/2020,3238
08/10/2020,3179
07/10/2020,3066
06/10/2020,2903
05/10/2020,2705
04/10/2020,2435
03/10/2020,2290
02/10/2020,2180
01/10/2020,2069
30/09/2020,2036
29/09/2020,1954
28/09/2020,1955
27/09/2020,1793
26/09/2020,1689
25/09/2020,1686
24/09/2020,1546
23/09/2020,1439
22/09/2020,1378
21/09/2020,1299
20/09/2020,1174
19/09/2020,1081
18/09/2020,1020
17/09/2020,984
16/09/2020,929
15/09/2020,891
14/09/2020,812
13/09/2020,691
12/09/2020,663
11/09/2020,622
10/09/2020,572
09/09/2020,557
08/09/2020,535
07/09/2020,555
06/09/2020,483
05/09/2020,471
04/09/2020,474
03/09/2020,468
02/09/2020,451
01/09/2020,496
31/08/2020,495
30/08/2020,479
29/08/2020,478
28/08/2020,469
27/08/2020,492
26/08/2020,485
25/08/2020,500
24/08/2020,522
23/08/2020,522
22/08/2020,594
21/08/2020,528
20/08/2020,551
19/08/2020,571
18/08/2020,597
17/08/2020,626
16/08/2020,634
15/08/2020,630
14/08/2020,642
13/08/2020,652
12/08/2020,642
11/08/2020,672
10/08/2020,714
09/08/2020,611
08/08/2020,650
07/08/2020,711
06/08/2020,756
05/08/2020,805
04/08/2020,807
03/08/2020,842
02/08/2020,847
01/08/2020,879
31/07/2020,870
30/07/2020,898
